row_raw,col_raw,grid_id_main,cell_area_m2,building_count,total_footprint_m2,mean_height_m,ci,vci,ci_log,vci_log,ci_norm,vci_norm,building_density,area_residential_m2,area_commercial_m2,area_office_m2,area_education_m2,area_industrial_m2,area_other_m2,total_area_m2,lum,lum_intensity,lum_adjacency,lum_proximity,lum_norm,lum_adjacency_norm,lum_intensity_norm,lum_proximity_norm,gi_mean,li_mean,gi_norm,li_norm,geometry,floor_area_total_m2,single_family_m2,multi_family_m2,facility_sales_m2,facility_office_m2,facility_neighborhood_m2,facility_education_m2,facility_industrial_m2,parks_green_m2,water_area_m2,single_family_ha,multi_family_ha,facility_sales_ha,facility_office_ha,facility_neighborhood_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha
0,18,0,887.2289316729562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.2289316699537,887.2289316699537,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481000, 818500 3480793.6722558183, 818491.3998097038 3481000, 818500 3481000)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.2289316729562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872289316729562
0,19,1,42732.48733203961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42732.487332023884,42732.487332023884,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481000, 818750 3481000, 818750 3480908.115880782, 818501.785280285 3480750.8414763515, 818500 3480793.6722558183, 818500 3481000)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42732.48733203961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27324873320396
0,20,2,6662.241953063966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.241953056438,6662.241953056438,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818750 3481000, 818895.0140026318 3481000, 818750 3480908.115880782, 818750 3481000)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.241953063966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6662241953063966
1,18,3,3452.615717847948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.6157178464928,3452.6157178464928,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481250, 818500 3481000, 818491.3998097038 3481000, 818480.9792645534 3481250, 818500 3481250)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452.615717854888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3452615717854888
1,19,4,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,62500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481000, 818500 3481250, 818750 3481250, 818750 3481000, 818500 3481000)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
1,20,5,59008.08810210293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59008.08810209765,59008.08810209765,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818750 3481000, 818750 3481250, 819000 3481250, 819000 3481066.521478777, 818895.0140026318 3481000, 818750 3481000)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59008.08810210293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.900808810210293
1,21,6,26068.93055641558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26068.930556402822,26068.930556402822,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((819000 3481250, 819250 3481250, 819250 3481224.927076772, 819000 3481066.521478777, 819000 3481250)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26068.93055641558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606893055641558
1,22,7,496.07738549092045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0773854872833,496.0773854872833,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((819250 3481250, 819289.5707657202 3481250, 819250 3481224.927076772, 819250 3481250)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.07738549092045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04960773854909205
2,18,8,6057.752005464863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6057.752005464278,6057.752005464278,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481500, 818500 3481250, 818480.9792645534 3481250, 818470.5587194029 3481500, 818500 3481500)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6057.752005466533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057752005466532
2,19,9,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,62500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((818500 3481250, 818500 3481500, 818750 3481500, 818750 3481250, 818500 3481250)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
