feature,importance_gain
single_family_ha,2218874.2910506725
multi_family_ha,581489.5654108524
vci_norm,320519.8199105263
facility_industrial_ha,267630.7969982624
ci_norm,85496.65115404129
lum_intensity_norm,56980.662209272385
lum_adjacency_norm,47452.62057352066
road_area_ha,22088.433475971222
gi_norm,13199.648483276367
lum_proximity_norm,12745.473205566406
parks_green_ha,12553.501218795776
lum_norm,8333.07908987999
li_norm,6195.407403230667
bus_routes_cnt,1299.7526669502258
facility_neighborhood_ha,867.0365715026855
facility_sales_ha,801.4152035713196
subway_influence_ha,711.7738513946533
facility_office_ha,626.9850120544434
facility_education_ha,176.1034984588623
water_area_ha,143.6335220336914
