feature,importance_gain
single_family_ha,5586622.769334793
multi_family_ha,2095529.803921461
vci_norm,939620.6778492928
facility_industrial_ha,827978.7411959171
ci_norm,85749.27460598946
lum_intensity_norm,79152.2858479023
lum_adjacency_norm,67104.8093713522
road_area_ha,44665.42724919319
parks_green_ha,22494.59626674652
gi_norm,22084.952231884003
lum_proximity_norm,13585.604078531265
lum_norm,9670.678732037544
subway_influence_ha,6978.23904132843
facility_sales_ha,5926.909831047058
li_norm,5760.178817033768
bus_routes_cnt,2105.9003281593323
facility_office_ha,1431.0599360466003
facility_neighborhood_ha,1233.8421702384949
water_area_ha,283.6580913066864
facility_education_ha,274.03713846206665
