feature,importance_gain
facility_industrial_ha,650309.8945217133
single_family_ha,255295.46358680725
multi_family_ha,205443.5187010765
vci_norm,109651.20184230804
ci_norm,106541.30675029755
road_area_ha,30564.66948747635
lum_intensity_norm,13949.735663890839
lum_adjacency_norm,11132.205606460571
gi_norm,6321.782269001007
lum_proximity_norm,3699.014901161194
li_norm,3231.6384987831116
lum_norm,3221.6902227401733
facility_sales_ha,2981.902714729309
parks_green_ha,2535.8590025901794
water_area_ha,1013.7862014770508
bus_routes_cnt,745.118420124054
facility_education_ha,602.9096021652222
facility_neighborhood_ha,556.6327991485596
subway_influence_ha,243.2588005065918
facility_office_ha,145.6215000152588
