target,feature,corr,value_q10,value_q90,shap_low,shap_high,shap_mean
Cooling load,vci,-0.15793410094714802,0.0,0.792059125253057,-0.42706886,-0.78203386,-0.010443555
Cooling load,ci,0.763247135285197,0.0,0.9542560081356422,-0.58876663,0.060230903,-0.124056704
Cooling load,lum_intensity,0.717232344216267,0.0,0.9468389224491224,-0.27829,0.5985069,0.02090904
Cooling load,lum_adjacency,-0.6368939065754071,0.6749999999999999,1.0,1.269692,-0.22351658,-0.008512298
Heating load,vci,0.704322581299516,0.0,0.792059125253057,-0.8504471,0.66987777,-0.016598102
Heating load,lum_adjacency,-0.5170003374034656,0.6749999999999999,1.0,1.0636452,-0.17304513,-0.009416791
Heating load,lum_intensity,0.6500379934491062,0.0,0.9468389224491224,-0.2404559,0.35756743,-0.027689712
Heating load,ci,0.13705061232771346,0.0,0.9542560081356422,-0.05686993,-0.38078725,-0.011628575
Other electricity,vci,-0.8807269574204695,0.0,0.792059125253057,0.81513965,-2.0288363,0.16560432
Other electricity,ci,0.39620440150904607,0.0,0.9542560081356422,-1.0018092,0.22304848,-0.23654377
Other electricity,lum_intensity,0.1755801970892395,0.0,0.9468389224491224,0.018419385,0.39943317,0.016266365
Other electricity,gi,-0.16179360263557863,0.0,0.7519711629363454,0.02853668,0.11009689,-0.016338833
