normalization,target_key,target,feature,mean_abs_shap,share,group
land,cooling,Cooling load,ci_norm,0.3962789475917816,0.027322938908863326,Form
land,cooling,Cooling load,vci_norm,0.6507978439331055,0.04487169919034322,Form
land,cooling,Cooling load,lum_norm,0.05068604275584221,0.003494739395483931,Form
land,cooling,Cooling load,lum_adjacency_norm,0.432094931602478,0.029792406310631955,Form
land,cooling,Cooling load,lum_intensity_norm,0.3813221752643585,0.026291688121862312,Form
land,cooling,Cooling load,lum_proximity_norm,0.04770006611943245,0.0032888600326872962,Form
land,cooling,Cooling load,gi_norm,0.21519151329994202,0.014837186298518634,Form
land,cooling,Cooling load,li_norm,0.13892480731010437,0.009578692095876334,Form
land,cooling,Cooling load,single_family_ha,7.265637397766113,0.5009566315837094,Built
land,cooling,Cooling load,multi_family_ha,3.345919132232666,0.2306969487013094,Built
land,cooling,Cooling load,facility_neighborhood_ha,0.03387347236275673,0.002335533647757842,Built
land,cooling,Cooling load,facility_sales_ha,0.019190074875950813,0.0013231317148652663,Built
land,cooling,Cooling load,facility_office_ha,0.03962142765522003,0.0027318479921388996,Built
land,cooling,Cooling load,facility_education_ha,0.020068608224391937,0.0013837054928939273,Built
land,cooling,Cooling load,facility_industrial_ha,0.979535698890686,0.06753776404849826,Built
land,cooling,Cooling load,parks_green_ha,0.08009946346282959,0.005522758047399768,Built
land,cooling,Cooling load,water_area_ha,0.023896673694252968,0.0016476458298908033,Built
land,cooling,Cooling load,road_area_ha,0.3497607707977295,0.024115568670248236,Built
land,cooling,Cooling load,subway_influence_ha,0.007013626396656036,0.0004835807875487513,Transport
land,cooling,Cooling load,bus_routes_cnt,0.025912920013070107,0.0017866634974430316,Transport
land,heating,Heating load,ci_norm,0.25654205679893494,0.012870427068638012,Form
land,heating,Heating load,vci_norm,0.34272828698158264,0.017194293508813914,Form
land,heating,Heating load,lum_norm,0.03571244329214096,0.0017916531993606407,Form
land,heating,Heating load,lum_adjacency_norm,0.3917001485824585,0.01965115684348148,Form
land,heating,Heating load,lum_intensity_norm,0.23193249106407166,0.011635792775401435,Form
land,heating,Heating load,lum_proximity_norm,0.025088386610150337,0.0012586561991619414,Form
land,heating,Heating load,gi_norm,0.19684505462646484,0.009875495468478287,Form
land,heating,Heating load,li_norm,0.06623752415180206,0.0033230622473377496,Form
land,heating,Heating load,single_family_ha,11.139473915100098,0.5588549043233778,Built
land,heating,Heating load,multi_family_ha,5.687901496887207,0.2853556344824148,Built
land,heating,Heating load,facility_neighborhood_ha,0.0223830696195364,0.0011229334819603208,Built
land,heating,Heating load,facility_sales_ha,0.053402312099933624,0.0026791340638448267,Built
land,heating,Heating load,facility_office_ha,0.03340871259570122,0.0016760776158314709,Built
land,heating,Heating load,facility_education_ha,0.015410415828227997,0.000773123266763396,Built
land,heating,Heating load,facility_industrial_ha,0.9130795001983643,0.04580817376225341,Built
land,heating,Heating load,parks_green_ha,0.048844948410987854,0.0024504962423674433,Built
land,heating,Heating load,water_area_ha,0.011443517170846462,0.0005741084132319065,Built
land,heating,Heating load,road_area_ha,0.4203898310661316,0.021090486014830157,Built
land,heating,Heating load,subway_influence_ha,0.011635961011052132,0.0005837631047124419,Transport
land,heating,Heating load,bus_routes_cnt,0.028514940291643143,0.0014305625516902935,Transport
land,other_electricity,Other electricity,ci_norm,0.6975907683372498,0.0679062040005674,Form
land,other_electricity,Other electricity,vci_norm,1.1056625843048096,0.10762950488086008,Form
land,other_electricity,Other electricity,lum_norm,0.031370192766189575,0.0030536968179718437,Form
land,other_electricity,Other electricity,lum_adjacency_norm,0.13797061145305634,0.013430597009971897,Form
land,other_electricity,Other electricity,lum_intensity_norm,0.15145760774612427,0.01474347378988536,Form
land,other_electricity,Other electricity,lum_proximity_norm,0.06100720167160034,0.005938678764471022,Form
land,other_electricity,Other electricity,gi_norm,0.1384521871805191,0.01347747546805235,Form
land,other_electricity,Other electricity,li_norm,0.11097300797700882,0.010802545074105968,Form
land,other_electricity,Other electricity,single_family_ha,2.7752280235290527,0.2701515112693504,Built
land,other_electricity,Other electricity,multi_family_ha,2.297837495803833,0.2236804568416706,Built
land,other_electricity,Other electricity,facility_neighborhood_ha,0.031418249011039734,0.0030583748001275918,Built
land,other_electricity,Other electricity,facility_sales_ha,0.06864816695451736,0.006682480103040586,Built
land,other_electricity,Other electricity,facility_office_ha,0.03128763288259506,0.003045660117155124,Built
land,other_electricity,Other electricity,facility_education_ha,0.031241316348314285,0.0030411514852061,Built
land,other_electricity,Other electricity,facility_industrial_ha,1.91664457321167,0.18657365219341634,Built
land,other_electricity,Other electricity,parks_green_ha,0.050789035856723785,0.004944002682402836,Built
land,other_electricity,Other electricity,water_area_ha,0.09073933213949203,0.008832920214564376,Built
land,other_electricity,Other electricity,road_area_ha,0.488386869430542,0.04754148118358629,Built
land,other_electricity,Other electricity,subway_influence_ha,0.031833164393901825,0.003098764280479753,Transport
land,other_electricity,Other electricity,bus_routes_cnt,0.024319203570485115,0.002367326050952425,Transport
