center,mean_shap,count
0.025,15.758837699890137,421
0.07500000000000001,3.767221212387085,93
0.125,1.3081779479980469,117
0.17500000000000002,-0.09939795732498169,126
0.225,-0.570066511631012,133
0.275,-0.8938902020454407,155
0.32500000000000007,-1.5477479696273804,144
0.375,-1.7506434917449951,171
0.42500000000000004,-2.17036771774292,178
0.475,-2.575575351715088,154
0.525,-2.6344449520111084,168
0.5750000000000001,-2.7992005348205566,129
0.625,-2.8889822959899902,166
0.675,-3.2089171409606934,125
0.7250000000000001,-3.3435280323028564,133
0.775,-3.335599422454834,91
0.8250000000000001,-3.70050048828125,91
0.875,-3.994612216949463,60
0.925,-3.9906206130981445,47
0.9750000000000001,-4.494036674499512,187
